Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,title,primaly_price,currency,url
Bright White,Global Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYE67P8785368,J37345,215 mi.,2023 Jeep Grand Cherokee 4xe Summit,73346.0,$,https://www.cars.com/vehicledetail/506a7fd0-4ebd-44d1-8b71-2f6387ac6a44/
Brown,Sand Beige,Four-wheel Drive,21–27,Gasoline,4-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3DF4DV4AW052063,JK2849,"58,373 mi.",2010 Toyota RAV4 Limited,13740.0,$,https://www.cars.com/vehicledetail/6d7e7714-5999-470e-b4c2-3c151e280c77/
Summit White,Jet Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKBKC6HR133558,HR133558,"120,467 mi.",2017 Chevrolet Tahoe LT,24999.0,$,https://www.cars.com/vehicledetail/3d01fe21-53d2-4f67-acce-47578fd98535/
Runway Red,Black,All-wheel Drive,,,Automatic,Electric,KNDC3DLC7P5103608,530920B,"2,867 mi.",2023 Kia EV6 Wind,38998.0,$,https://www.cars.com/vehicledetail/8c4b7be9-aa4a-4c1f-bc4f-9be1498a3c2f/
Bright White Clearcoat,–,Four-wheel Drive,17–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4HJXAG0PW677707,T0322,5 mi.,2023 Jeep Wrangler Sport,39995.0,$,https://www.cars.com/vehicledetail/923bf2d8-8295-4994-b8cb-68162779e5d4/
Magnetic Gray,Ebony,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ3LT2JEL17915,00PT3256,"58,665 mi.",2018 Lincoln Navigator L Reserve,44500.0,$,https://www.cars.com/vehicledetail/c8357a2d-082e-42d8-b106-aa9e5fecf413/
Carbon Black Metallic,Coffee,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCY6C04N9K14785,5205627,"15,805 mi.",2022 BMW X6 xDrive40i,70787.0,$,https://www.cars.com/vehicledetail/4ccd6908-3b6c-4682-bfb0-604fdb5b5c1d/
Deep Black Pearl Effect,Titan Black,Front-wheel Drive,24–34,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,WVWH87CD3NW198192,NW198192,"2,759 mi.",2022 Volkswagen Golf GTI 2.0T S,30475.0,$,https://www.cars.com/vehicledetail/c351e3cf-6096-4c49-b822-b2799eceaf50/
Black Raven,Jet Black,Four-wheel Drive,15–21,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4BKJ8GR165874,000P3178,"85,691 mi.",2016 Cadillac Escalade Luxury,32000.0,$,https://www.cars.com/vehicledetail/7a877312-3a2d-4c83-b7f1-f7d310ce6f4a/
Hydro Blue Pearlcoat,Red / Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,6.2L V8 16V MPFI OHV Supercharged,1C6SRFU96NN303361,14543Z,"9,473 mi.",2022 RAM 1500 TRX,93488.0,$,https://www.cars.com/vehicledetail/9ec37758-d70f-4f23-becd-ccd04d0efdaf/
Ingot Silver Metallic,Medium Stone,Rear-wheel Drive,15–26,Gasoline,6-Speed,5.0L V8 32V MPFI DOHC,1ZVBP8FF9E5218072,P23375A,"33,427 mi.",2014 Ford Mustang GT Premium,23494.0,$,https://www.cars.com/vehicledetail/1d772dab-6470-469f-b6b2-90edd2eefc94/
White,Black,Rear-wheel Drive,17–27,Gasoline,7-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Twin Turbo,WP0AB2A71EL056072,B10701PA,"46,933 mi.",2014 Porsche Panamera S,32900.0,$,https://www.cars.com/vehicledetail/57736500-3d09-4748-b7e9-0a86133945b3/
Diamond Black,Black / Saddle,Four-wheel Drive,19–24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFKT4PN658000,R3165,21 mi.,2023 RAM 1500 Longhorn,69733.0,$,https://www.cars.com/vehicledetail/7bda253e-5d78-4fdd-9d1a-3a0a5ee2f8df/
Black,Black / Red,Front-wheel Drive,22–28,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC Turbo,SHHFK8G71LU201691,T38371A,"30,925 mi.",2020 Honda Civic Type R Touring,38459.0,$,https://www.cars.com/vehicledetail/e28a700d-eb96-49a5-93e1-da0062866ffe/
Celestial Silver,Black,Four-wheel Drive,17–23,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFLA5EC6RX021160,240095,8 mi.,2024 Toyota Tundra SR5,64382.0,$,https://www.cars.com/vehicledetail/8ca1a98d-9d72-487e-bef3-d8635ca1f8db/
Carbonized Gray Metallic,Ebony,4WD,21–26,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3FMCR9D90PRE24591,23111T,10 mi.,2023 Ford Bronco Sport Badlands,41060.0,$,https://www.cars.com/vehicledetail/a55704be-5d49-4da1-ab41-0e479583e195/
Aurora Black,Black,Front-wheel Drive,28–39,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3KPF54AD5PE685067,PE685067,9 mi.,2023 Kia Forte GT-Line,23785.0,$,https://www.cars.com/vehicledetail/fbcd8edc-6ebd-4ef4-bc60-4d84ea6238d5/
Agate Black Metallic,Medium Dark Slate,Four-wheel Drive,–,Gasoline,10-Speed Automatic,7.3L V8 16V MPFI OHV,1FT8W3BN9PEE04861,F27364,–,2023 Ford F-350 XL,61675.0,$,https://www.cars.com/vehicledetail/5b51de0f-172e-475f-a0bb-f051b48c38ee/
Carbonized Gray Metallic,Black,Four-wheel Drive,19–22,Gasoline,Automatic,"5L V-8 port/direct injection, DOHC, variable valve control, engi",1FTFW1E56PFB32464,FB32464,15 mi.,2023 Ford F-150 XLT,63920.0,$,https://www.cars.com/vehicledetail/a1f6b146-b3e7-4f0a-9063-1a9e6c078725/
Onyx Black,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GT59TE77RF231717,RF231717,5 mi.,2024 GMC Sierra 3500 SLE,61300.0,$,https://www.cars.com/vehicledetail/055562b0-41e4-43df-bfbc-d045588ed981/
Snowflake White Pearl,Black,Front-wheel Drive,28–37,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,3MZBPACM7PM379849,M0990,8 mi.,2023 Mazda Mazda3 FWD w/Preferred Package,27410.0,$,https://www.cars.com/vehicledetail/6223408e-abf9-4733-9c9f-435b492e2384/
Quantum Gray,Black,All-wheel Drive,21–30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,WAUA4AF43KA114061,15283,"29,211 mi.",2019 Audi S4 3.0T Premium,37995.0,$,https://www.cars.com/vehicledetail/98fff275-17fb-4c74-ae4b-3339688d8512/
Vapor Blue,Black Onyx,All-wheel Drive,,,Automatic,8-Cylinder Electric ZEV 311hp,3FMTK3SU0PMA58153,3A58153,11 mi.,2023 Ford Mustang Mach-E Premium,58485.0,$,https://www.cars.com/vehicledetail/ce1a104c-1c19-40f2-a55c-2e925f67d04f/
Pearl White,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C6UR5TL7RG116774,D40023,5 mi.,2024 RAM 2500 Limited,92490.0,$,https://www.cars.com/vehicledetail/d4227a9b-3f3b-4a49-a993-87ad36ca8df0/
Bright White,Global Black,Four-wheel Drive,–,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,1C4RJYE65P8785367,J37249,30 mi.,2023 Jeep Grand Cherokee 4xe Summit,73342.0,$,https://www.cars.com/vehicledetail/cb8aa1e9-20f9-4e02-abe7-6293a6735e4d/
Midnight Black,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP5DGC8RG445987,K240148,8 mi.,2024 Kia Telluride SX-Prestige X-Pro,62190.0,$,https://www.cars.com/vehicledetail/7177ae3d-98a6-46df-976f-de87249a906b/
Machine Gray Metallic,Black,AWD,23–31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBNY0R1655622,MWR1655622,5 mi.,2024 Mazda Mazda3 AWD w/Premium Package,39209.0,$,https://www.cars.com/vehicledetail/fac0d7b5-21f1-4843-b00d-9a59df9e5527/
Summit White,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,1GC4YVEY7RF250819,24481,9 mi.,2024 Chevrolet Silverado 3500 High Country,90690.0,$,https://www.cars.com/vehicledetail/dc9f6216-8b4c-44a9-9bf0-a74a20a1c0eb/
Sting Gray Clearcoat,Black,Four-wheel Drive,16–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C6JJTEG3PL544470,T2340173,5 mi.,2023 Jeep Gladiator Mojave,57321.0,$,https://www.cars.com/vehicledetail/6746c27a-fcec-4079-83e8-e763d0d6043b/
White,Black,All-wheel Drive,37–36,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,KM8JCCD17RU153251,Y51958,19 mi.,2024 Hyundai Tucson Hybrid SEL Convenience,37555.0,$,https://www.cars.com/vehicledetail/17c68f1c-bcf6-4550-b798-41bec94b0d64/
Jet Black Mica,Caturra Brown,All-wheel Drive,22–27,Gasoline,6-Speed Automatic,2.5L I4 16V,JM3KFBXY0R0369573,R0369573,2 mi.,2024 Mazda CX-5 Signature,42430.0,$,https://www.cars.com/vehicledetail/065b8e85-6b59-4e1d-9783-04128e8cf1b9/
Fuji White,Ebony,Four-wheel Drive,19–23,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,SALCL2FX3PH336377,7478,9 mi.,2023 Land Rover Discovery Sport SE R-Dynamic,54445.0,$,https://www.cars.com/vehicledetail/213f1501-0f42-465d-8518-de1227b7379e/
Wolf Gray,Red,FWD,27–37,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG64J2XRG246487,RG246487,10 mi.,2024 Kia K5 GT-Line,29435.0,$,https://www.cars.com/vehicledetail/9d6e48ab-4d0a-4e46-b672-cae10a93aadd/
Agate Black Metallic,Black Onyx,Rear-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK1H89REA06812,REA06812,2 mi.,2024 Ford Expedition Max XLT,70855.0,$,https://www.cars.com/vehicledetail/4179ec86-af5c-42f9-884b-2468ee116188/
Bright White Clearcoat,Global Black,Four-wheel Drive,14–19,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJSGPXPS543200,23J0429,–,2023 Jeep Grand Wagoneer L Series III,119060.0,$,https://www.cars.com/vehicledetail/13b6ed08-e54d-4cbc-a13f-9e679acd57f7/
Black,Black,Rear-wheel Drive,20–25,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4JB9PA944990,PA944990,"7,903 mi.",2023 Mercedes-Benz GLE 350 Base,64630.0,$,https://www.cars.com/vehicledetail/9da5c54c-fb49-42b7-8e0f-5e7d0642f756/
Hampton Gray,Black,All-wheel Drive,19–27,Gasoline,8-Speed Automatic with Auto-Shift,2.5L I4 16V PDI DOHC Turbo,5NTJCDAF0RH089589,740086,19 mi.,2024 Hyundai Santa Cruz 2.5T NIGHT,40390.0,$,https://www.cars.com/vehicledetail/960d6583-dc17-473d-a4a7-e72ea0ff80a4/
Crystal White Tri-Coat,Jet Black,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4DKL0PR402452,402452,"1,277 mi.",2023 Cadillac Escalade Premium Luxury Platinum,116070.0,$,https://www.cars.com/vehicledetail/1a9ba802-f177-4613-affa-8c12e8f592e0/
Ebony Twilight Metallic,Dark Galvanized,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GKKNXLS7PZ249583,GA3112,6 mi.,2023 GMC Acadia Denali,57185.0,$,https://www.cars.com/vehicledetail/f54c904f-e749-4933-a48c-4a33c57c7936/
Blue Crush Metallic,Black / Blue,All-wheel Drive,45–38,Hybrid,Automatic CVT,2.0L I4 16V PDI DOHC Hybrid,7MUFBABG7PV008145,PV008145,3 mi.,2023 Toyota Corolla Cross Hybrid XSE,39014.0,$,https://www.cars.com/vehicledetail/15bf8095-8919-4e14-965e-5bec33961238/
Black,–,Four-wheel Drive,17–23,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFLA5DB1PX125416,U3125416,10 mi.,2023 Toyota Tundra SR5,57775.0,$,https://www.cars.com/vehicledetail/0f2019d5-2fd4-461d-b9b1-4eeb14d92878/
Dark Mahogany Pearl,Slate Black,All-wheel Drive,19–25,Gasoline,Automatic,"2.4L H-4 gasoline direct injection, DOHC, variable valve control",4S4WMAWD0P3447611,P3447611,12 mi.,2023 Subaru Ascent Touring 7-Passenger,50527.0,$,https://www.cars.com/vehicledetail/b5596793-6d46-4c46-81c3-cca3bd6ff49b/
Nightfall Mica,Macadamia,Front-wheel Drive,43–44,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,58ADA1C15RU040707,24X182,5 mi.,2024 Lexus ES 300h Luxury,52470.0,$,https://www.cars.com/vehicledetail/d9f9bff5-d06b-453a-8993-ef6d31bd531c/
Wind Chill Pearl,Black,Four-wheel Drive,17–22,Gasoline,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo,5TFWA5DB4RX138080,RX138080,42 mi.,2024 Toyota Tundra Limited,67720.0,$,https://www.cars.com/vehicledetail/f4eedf4f-96a5-4ffe-83f2-724083fe1920/
Obsidian Black,Black,Rear-wheel Drive,22–29,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,W1K1K5JB6PF207078,207078,10 mi.,2023 Mercedes-Benz E-Class E 450,85820.0,$,https://www.cars.com/vehicledetail/c6219a5b-94b0-4b50-bd5d-d94e3121efb8/
Red,Medium Ash Gray,All-wheel Drive,24–30,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,3GNAXUEG8RL166402,B24E022,18 mi.,2024 Chevrolet Equinox 1LT,34185.0,$,https://www.cars.com/vehicledetail/ce9a6323-d1c9-41af-b64b-b0ec44776bc3/
Gravity Gray,Black,All-wheel Drive,23–26,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5XYK6CDF9RG149991,24102,10 mi.,2024 Kia Sportage X-Line,35262.0,$,https://www.cars.com/vehicledetail/ab49a2fc-6f98-4cba-86ec-1429ad49d752/
Soul Red Crystal Metallic,Black,Rear-wheel Drive,26–34,Gasoline,6-Speed Manual,2.0L I4 16V GDI DOHC,JM1NDAM70P0557704,557704,7 mi.,2023 Mazda MX-5 Miata RF Grand Touring,37585.0,$,https://www.cars.com/vehicledetail/20b81109-a528-4fde-9c79-87276453b626/
INCOGNITO,Black,AWD,19–26,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,JTHG85EC4P5007083,P5007083,6 mi.,2023 Lexus RC 300 F Sport,55215.0,$,https://www.cars.com/vehicledetail/499a8536-13cc-4785-bd26-13e721fc001c/
Gray,Black Graphite,Rear-wheel Drive,17–21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU5JR0K5205860,K5205860,"100,865 mi.",2019 Toyota 4Runner SR5 Premium,27990.0,$,https://www.cars.com/vehicledetail/4b1a598d-fef4-4a57-9eaf-6d534b76d041/
Platinum Quartz Metallic,Black,All-wheel Drive,24–28,Gasoline,8-Speed Automatic,3.3L I6 24V GDI DOHC Turbo,JM3KKDHD4R1129150,MM240085,9 mi.,2024 Mazda CX-90 3.3 Turbo Premium,50275.0,$,https://www.cars.com/vehicledetail/18609de4-8ca7-43d8-8c99-1d9b6e0beb2a/
Baltic Gray Metallic Clearcoat,Tupelo/Black,Four-wheel Drive,18–25,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, regular unleade",1C4RJKEG2R8917672,KJ23628,12 mi.,2024 Jeep Grand Cherokee L Summit Reserve,78275.0,$,https://www.cars.com/vehicledetail/a0e2f5db-245b-4fb8-9329-04b1a6204c39/
Glacial White Pearl,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DGC9RG453747,M7990,11 mi.,2024 Kia Telluride EX X-Line,52255.0,$,https://www.cars.com/vehicledetail/5647bc69-de89-450b-b8ef-cea7dcf3f9b4/
Black,Jet Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic with Overdrive,"3.6L V-6 gasoline direct injection, DOHC, VVT variable valve con",3GNKBJRS3PS234611,C23271,2 mi.,2023 Chevrolet Blazer 3LT,45560.0,$,https://www.cars.com/vehicledetail/48fdbe27-1925-4ccf-b98d-57a6536bcab3/
Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,–,Diesel,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C63RRGL1PG522558,23T324,12 mi.,2023 RAM 3500 Tradesman,74980.0,$,https://www.cars.com/vehicledetail/6f541677-27e4-41c9-966a-836776789c3d/
White,Global Black,Four-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJHEG4P8869446,J11139,24 mi.,2023 Jeep Grand Cherokee Summit,67103.0,$,https://www.cars.com/vehicledetail/b3ebea40-59a9-4e96-a80e-91862186d2dd/
Skyscraper Gray Metallic,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBX57DP04PN237251,5209024,13 mi.,2023 BMW X3 xDrive30i,52910.0,$,https://www.cars.com/vehicledetail/41bba363-0b05-4966-b760-1051a76b0ab9/
Shimmering Silver,Black,All-wheel Drive,23–29,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5NMJFCDE4RH321174,RH321174,6 mi.,2024 Hyundai Tucson SEL,35694.0,$,https://www.cars.com/vehicledetail/b64d2add-d243-4c47-84f4-3b3f0284d9f1/
Crystal Black Pearl,Black,AWD,40–34,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H80RE028849,2928849,–,2024 Honda CR-V Hybrid Sport-L,39175.0,$,https://www.cars.com/vehicledetail/3ae5b2fb-6628-4096-aa30-44e048536a4b/
Rosso,Black,All-wheel Drive,23–31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,ZARFANBNXP7667940,23R002,12 mi.,2023 Alfa Romeo Giulia Ti,48205.0,$,https://www.cars.com/vehicledetail/38f43f8d-3a7c-46de-90b8-bae4627402e2/
Iridescent Pearl Tricoat,Jet Black,Four-wheel Drive,14–18,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GNSKTKL8PR138975,044860A,"11,072 mi.",2023 Chevrolet Tahoe High Country,81493.0,$,https://www.cars.com/vehicledetail/a54b1e11-b7a2-4264-97aa-0a68f9df5787/
Graphite Shadow,Graphite,All-wheel Drive,22–28,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5JR1PF114614,I0262,5 mi.,2023 INFINITI QX55 LUXE,46146.0,$,https://www.cars.com/vehicledetail/4081dad6-ebec-41f8-b048-9d5b922a20fb/
Toronto Red Metallic,Black,All-wheel Drive,16–22,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,WBS43AZ04RCP59109,95043,–,2024 BMW M4 Competition xDrive,97595.0,$,https://www.cars.com/vehicledetail/41d0fc41-6782-412a-b8fe-7b976b4bd8e7/
8 Ball Exterior Paint,Black Interior Color,All-wheel Drive,0–0,Gasoline,6-Spd Aisin F21-250 PHEV Auto Trans,1.3L I4 Turbo PHEV Engine,ZACPDFCW2R3A11831,G4116,22 mi.,2024 Dodge Hornet R/T EAWD,42530.0,$,https://www.cars.com/vehicledetail/8edbe1cb-74a9-4299-8caa-46989f66b92b/
Snow White Pearl,–,Front-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,KNDNB4H33R6358323,R6358323,7 mi.,2024 Kia Carnival LX Seat Package,37285.0,$,https://www.cars.com/vehicledetail/7bca20c2-3253-4461-9e70-17dfdb314a0c/
Gray Metallic,Tartufo,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo Hybrid,5UX43EU0XR9U06441,R9U06441,7 mi.,2024 BMW X5 PHEV xDrive50e,83995.0,$,https://www.cars.com/vehicledetail/c27b0239-538b-4b42-a824-49246e27bc72/
Bright White Clearcoat,Black,Four-wheel Drive,–,Gasoline,8-Speed Automatic,2.0L I4 DOHC,3C4NJDCN7RT586228,RT586228,7 mi.,2024 Jeep Compass Limited,40965.0,$,https://www.cars.com/vehicledetail/4cefe908-b3ff-440b-8699-3e84a2f3e9ce/
Black Raven,Jet Black,All-wheel Drive,18–27,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1G6DV5RW3R0105526,R0105526,5 mi.,2024 Cadillac CT5-V V-Series,67530.0,$,https://www.cars.com/vehicledetail/e910a1be-d970-44b0-b7de-28628c06ec0e/
Rhodium White Metallic,Black,All-wheel Drive,24–28,Gasoline,8-Speed Automatic,3.3L,JM3KKCHD2R1107867,Z1055,"2,004 mi.",2024 Mazda CX-90 Preferred Plus,47870.0,$,https://www.cars.com/vehicledetail/16688ecc-d519-43c6-9922-02ff74a75558/
Lakeshore Blue Metallic,Jet Black,Four-wheel Drive,–,Diesel,10-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,2GC4YREY9R1147559,G10149,–,2024 Chevrolet Silverado 2500 High Country,87375.0,$,https://www.cars.com/vehicledetail/1fbdb33b-a714-4311-9c95-7746d2e147a1/
Obsidian Black,Beige,All-wheel Drive,,,1-Speed Automatic,Electric,4JGDM2EBXPA014418,M8766,12 mi.,2023 Mercedes-Benz EQS 450 Base 4MATIC,112995.0,$,https://www.cars.com/vehicledetail/de2eee76-1a0f-44f4-a0c4-8856661baf6c/
Onyx Black,Jet Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3GTP9EEL1MG418718,P1316,"38,850 mi.",2021 GMC Sierra 1500 AT4,48400.0,$,https://www.cars.com/vehicledetail/930689e8-eb07-4392-93ac-abd62bb986d9/
Portofino Blue,Ebony,Four-wheel Drive,19–25,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,SALRT4EU9P2473937,P2473937,"18,001 mi.",2023 Land Rover Discovery P360 S R-Dynamic,70795.0,$,https://www.cars.com/vehicledetail/3ca0d0b3-75bc-46a7-aedc-993022589e1f/
Radiant Red,Jet Black,Rear-wheel Drive,19–28,Gasoline,Automatic,3.6L V6 GDI DOHC,1G1FD3DS7P0158771,23366,3 mi.,2023 Chevrolet Camaro 2LT,43087.0,$,https://www.cars.com/vehicledetail/a7a1e647-5949-4fa8-b1c3-345f08de3366/
White Knuckle Clearcoat,Black,Rear-wheel Drive,15–24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ1KH697111,P09071A,"26,460 mi.",2019 Dodge Charger Scat Pack,39400.0,$,https://www.cars.com/vehicledetail/f3d126ac-845a-4d56-ba2a-52663fbf35f8/
Wind Chill Pearl,Black / White,4WD,19–22,Hybrid,10-Speed Automatic,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,7SVAAABAXRX40C233,RX40C233,10 mi.,2024 Toyota Sequoia Capstone,84973.0,$,https://www.cars.com/vehicledetail/4bd8a69b-ad9a-4e53-ab1a-3b30622303f7/
Aventurin Red Metallic,–,All-wheel Drive,,,1-Speed Automatic,Electric,WBY53EJ09RCP39094,RCP39094,13 mi.,2024 BMW i7 xDrive60,160095.0,$,https://www.cars.com/vehicledetail/12dbe7e9-fc93-40fb-8ccb-d327eda9653f/
Volcanic Red,Jet Black,Four-wheel Drive,21–23,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GTUUEEL4RZ151714,GR043,4 mi.,2024 GMC Sierra 1500 AT4,74995.0,$,https://www.cars.com/vehicledetail/6fa4fd0b-9f02-443a-8511-21bb74117551/
Black,Jet Black,Four-wheel Drive,16–20,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GCUDGED7RZ133695,8337,8 mi.,2024 Chevrolet Silverado 1500 LTZ,65665.0,$,https://www.cars.com/vehicledetail/df0858d6-df01-4ec9-8f49-fea164f7ba17/
F8 Green,Black,All-wheel Drive,18–27,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 303",2C3CDZGG1PH611416,KJ23378,40 mi.,2023 Dodge Challenger SXT,44505.0,$,https://www.cars.com/vehicledetail/d821eda7-e8a3-4f2c-b0e2-0fca07e5c636/
Canyon,Black,All-wheel Drive,40–34,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H88RE026573,240385,8 mi.,2024 Honda CR-V Hybrid Sport-L,38675.0,$,https://www.cars.com/vehicledetail/200ba5a5-c097-4760-b178-f55cedf022cf/
Black,Jet Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKCKC4FR165637,6573JP,"160,371 mi.",2015 Chevrolet Tahoe LTZ,19993.0,$,https://www.cars.com/vehicledetail/77428a60-1d3d-4fe3-aaf3-c216e7edc154/
Portofino Gray,Black,Front-wheel Drive,45–51,Hybrid,6-Speed Automatic,2.0L I4 16V GDI DOHC Hybrid,KMHL54JJ1PA077120,PA077120,17 mi.,2023 Hyundai Sonata Hybrid Limited,38345.0,$,https://www.cars.com/vehicledetail/dd2495d4-55e5-4d45-9c44-e24999499b6b/
Dynamic Blue Metallic,Obsidian Rush,Four-wheel Drive,14–17,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3GTUUFEL8PG365902,31119,–,2023 GMC Sierra 1500 AT4X,89350.0,$,https://www.cars.com/vehicledetail/c82c468f-7b36-4bed-87b6-0b812611dc7d/
Iridescent Pearl Tricoat,Gideon,Four-wheel Drive,–,Gasoline,10-Speed Automatic,6.6L V8 16V GDI OHV,1GC4YPE73RF104713,RF104713,11 mi.,2024 Chevrolet Silverado 2500 LTZ,67210.0,$,https://www.cars.com/vehicledetail/de5d4e4d-c3a0-45be-8100-192b0e940e85/
Shimmering Silver,Black,All-wheel Drive,33–30,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,5NMS3DA14PH015819,122651,5 mi.,2023 Hyundai Santa Fe HEV SEL Premium,41960.0,$,https://www.cars.com/vehicledetail/1fd212b2-ab26-4c2a-a774-f80d867ca208/
Radiant Red,Black,All-wheel Drive,,,1-Speed Automatic,Electric,1GYKPMRL4RZ105233,11RZ105233,7 mi.,2024 Cadillac LYRIQ Tech,66865.0,$,https://www.cars.com/vehicledetail/8b3360e3-202b-4800-8c26-106409f5533b/
Hyper White,Black,Front-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,KM8R34GE0RU666056,HP24095,13 mi.,2024 Hyundai Palisade XRT,44484.0,$,https://www.cars.com/vehicledetail/9a88c59b-6cfb-4957-8d07-840d12ed57eb/
Silver Radiance,Ebony,Four-wheel Drive,0–0,Gasoline,Automatic,"EcoBoost 3.5L V-6 port/direct injection, DOHC, variable valve co",5LMJJ3LT7LEL08033,L03731UD,"40,331 mi.",2020 Lincoln Navigator Reserve,61300.0,$,https://www.cars.com/vehicledetail/56dc2e24-6f74-42bd-8e1a-30629047a81b/
